gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
RAPGEF2	Q9Y4G8	1499	Q9Y4G8	1499	TRUE	NM_001394067.2	NP_001380996.1	ENST00000691494.1	1660	FALSE
CLIC5	Q9NZA1	410	Q9NZA1	410	TRUE	NM_016929.5	NP_058625.2	ENST00000339561.12	251	FALSE
GLIS3	Q8NEA6	775	Q8NEA6	775	TRUE	NM_001042413.2	NP_001035878.1	ENST00000381971.8	930	FALSE
ENTREP1	Q15884	450	Q15884	450	TRUE	NM_001347995.2	NP_001334924.1	ENST00000303068.14	603	FALSE
IQSEC1	Q6DN90	963	Q6DN90	963	TRUE	NM_001134382.3	NP_001127854.1	ENST00000613206.2	1114	FALSE
RUFY3	Q7L099	469	Q7L099	469	TRUE	NM_001037442.4	NP_001032519.1	ENST00000381006.8	620	FALSE
HLCS	P50747	726	P50747	726	TRUE	NM_001352514.2	NP_001339443.1	ENST00000674895.3	873	FALSE
RGS20	O76081	388	O76081	388	TRUE	NM_003702.5	NP_003693.2	ENST00000276500.5	241	FALSE
CSMD2	Q7Z408	3487	Q7Z408	3487	TRUE	NM_001281956.2	NP_001268885.1	ENST00000373381.9	3631	FALSE
ING1	Q9UK53	422	Q9UK53	422	TRUE	NM_198219.3	NP_937862.1	ENST00000333219.9	279	FALSE
MUC12	Q9UKN1	5478	Q9UKN1	5478	TRUE	NM_001164462.2	NP_001157934.1	ENST00000536621.6	5335	FALSE
RASAL2	Q9UJF2	1139	Q9UJF2	1139	TRUE	NM_170692.4	NP_733793.2	ENST00000367649.8	1280	FALSE
CNOT4	O95628	575	O95628	575	TRUE	NM_001190850.2	NP_001177779.1	ENST00000541284.6	713	FALSE
GSPT1	P15170	499	P15170	499	TRUE	NM_002094.4	NP_002085.3	ENST00000434724.7	637	FALSE
PLEC	Q15149	4684	Q15149	4684	TRUE	NM_201384.3	NP_958786.1	ENST00000345136.8	4547	FALSE
DUSP13B	Q9UII6	198	Q9UII6	198	TRUE	NM_001363514.2	NP_001350443.1	ENST00000478873.7	334	FALSE
FGF2	P09038	288	P09038	288	TRUE	NM_001361665.2	NP_001348594.1	ENST00000644866.2	155	FALSE
NWD1	Q149M9	1564	Q149M9	1564	TRUE	NM_001007525.5	NP_001007526.3	ENST00000524140.7	1432	FALSE
RPGR	Q92834	1020	Q92834	1020	TRUE	NM_001034853.2	NP_001030025.1	ENST00000645032.1	1152	FALSE
BRD1	O95696	1058	O95696	1058	TRUE	NM_001304808.3	NP_001291737.1	ENST00000404760.6	1189	FALSE
DMBT1	Q9UGM3	2413	Q9UGM3	2413	TRUE	NM_001377530.1	NP_001364459.1	ENST00000338354.10	2542	FALSE
TGIF1	Q15583	401	Q15583	401	TRUE	NM_003244.4	NP_003235.1	ENST00000343820.10	272	FALSE
ZNF493	Q6ZR52	646	Q6ZR52	646	TRUE	NM_001076678.3	NP_001070146.1	ENST00000392288.7	774	FALSE
BPTF	Q12830	3046	Q12830	3046	TRUE	NM_182641.4	NP_872579.2	ENST00000306378.11	2920	FALSE
CARNS1	A5YM72	827	A5YM72	827	TRUE	NM_001166222.2	NP_001159694.1	ENST00000687366.1	950	FALSE
NFYC	Q13952	458	Q13952	458	TRUE	NM_014223.5	NP_055038.2	ENST00000447388.8	335	FALSE
MYB	P10242	640	P10242	640	TRUE	NM_001130173.2	NP_001123645.1	ENST00000341911.10	761	FALSE
DLX6	P56179	175	P56179	175	TRUE	NM_005222.4	NP_005213.3	ENST00000518156.3	293	FALSE
CMTM1	Q8IZ96	169	Q8IZ96	169	TRUE	NM_052999.4	NP_443725.3	ENST00000379500.7	286	FALSE
SH3D21	A4FU49	640	A4FU49	640	TRUE	NM_001162530.2	NP_001156002.1	ENST00000453908.8	756	FALSE
SREK1	Q8WXA9	508	Q8WXA9	508	TRUE	NM_001077199.3	NP_001070667.1	ENST00000334121.11	624	FALSE
ZNF839	A8K0R7	811	A8K0R7	811	TRUE	NM_018335.6	NP_060805.3	ENST00000442396.7	927	FALSE
ZNF841	Q6ZN19	808	Q6ZN19	808	TRUE	NM_001136499.2	NP_001129971.1	ENST00000594440.6	924	FALSE
TAMM41	Q96BW9	452	Q96BW9	452	TRUE	NM_001284401.2	NP_001271330.1	ENST00000455809.6	337	FALSE
XBP1	P17861	261	P17861	261	TRUE	NM_001079539.2	NP_001073007.1	ENST00000344347.6	376	FALSE
CABYR	O75952	493	O75952	493	TRUE	NM_153769.3	NP_722453.1	ENST00000399496.8	379	FALSE
CRMP1	Q14194	572	Q14194	572	TRUE	NM_001014809.3	NP_001014809.1	ENST00000324989.12	686	FALSE
DPYSL3	Q14195	570	Q14195	570	TRUE	NM_001197294.2	NP_001184223.1	ENST00000343218.10	684	FALSE
RFX8	Q6ZV50	586	Q6ZV50	586	TRUE	NM_001145664.2	NP_001139136.2	ENST00000428343.6	473	FALSE
PANK2	Q9BZ23	570	Q9BZ23	570	TRUE	NM_001386393.1	NP_001373322.1	ENST00000610179.7	460	FALSE
SLC22A31	A6NKX4	556	A6NKX4	556	TRUE	NM_001384763.1	NP_001371692.1	ENST00000682282.1	446	FALSE
NFASC	O94856	1347	O94856	1347	TRUE	NM_001005388.3	NP_001005388.2	ENST00000339876.11	1240	FALSE
DDX31	Q9H8H2	851	Q9H8H2	851	TRUE	NM_022779.9	NP_073616.7	ENST00000372159.8	746	FALSE
DLG2	Q15700	870	Q15700	870	TRUE	NM_001142699.3	NP_001136171.1	ENST00000376104.7	975	FALSE
GDPD4	Q6W3E5	623	Q6W3E5	623	TRUE	NM_182833.3	NP_878253.1	ENST00000315938.5	520	FALSE
NPFFR2	Q9Y5X5	522	Q9Y5X5	522	TRUE	NM_004885.3	NP_004876.3	ENST00000308744.12	420	FALSE
KIF1A	Q12756	1690	Q12756	1690	TRUE	NM_001244008.2	NP_001230937.1	ENST00000498729.9	1791	FALSE
WFDC5	Q8TCV5	224	Q8TCV5	224	TRUE	NM_145652.4	NP_663627.1	ENST00000372789.6	123	FALSE
CARD16	Q5EG05	197	Q5EG05	197	TRUE	NM_052889.4	NP_443121.1	ENST00000673097.2	97	FALSE
DBNDD2	Q9BQY9	259	Q9BQY9	259	TRUE	NM_001048225.4	NP_001041690.3	ENST00000372710.5	161	FALSE
MON1A	Q86VX9	652	Q86VX9	652	TRUE	NM_032355.4	NP_115731.3	ENST00000296473.8	555	FALSE
HLA-F	P30511	346	P30511	346	TRUE	NM_001098479.2	NP_001091949.1	ENST00000259951.12	442	FALSE
SGK1	O00141	431	O00141	431	TRUE	NM_001143676.3	NP_001137148.1	ENST00000367858.10	526	FALSE
TDRD3	Q9H7E2	651	Q9H7E2	651	TRUE	NM_001146070.2	NP_001139542.1	ENST00000377881.8	744	FALSE
TMEM116	Q8NCL8	245	Q8NCL8	245	TRUE	NM_001193531.2	NP_001180460.1	ENST00000552374.7	337	FALSE
DCAF6	Q58WW2	860	Q58WW2	860	TRUE	NM_001198956.2	NP_001185885.1	ENST00000367840.4	951	FALSE
LAPTM4B	Q86VI4	317	Q86VI4	317	TRUE	NM_018407.6	NP_060877.4	ENST00000521545.7	226	FALSE
PPHLN1	Q8NEY8	458	Q8NEY8	458	TRUE	NM_201439.2	NP_958847.1	ENST00000358314.12	367	FALSE
CCHCR1	Q8TD31	782	Q8TD31	782	TRUE	NM_001105564.2	NP_001099034.1	ENST00000396268.8	871	FALSE
PREPL	Q4J6C6	727	Q4J6C6	727	TRUE	NM_001171613.2	NP_001165084.1	ENST00000409411.6	638	FALSE
GPR142	Q7Z601	462	Q7Z601	462	TRUE	NM_001331076.1	NP_001318005.1	ENST00000582579.6	374	FALSE
IGSF9B	Q9UPX0	1349	Q9UPX0	1349	TRUE	NM_001277285.4	NP_001264214.1	ENST00000533871.8	1437	FALSE
CAPS	Q13938	275	Q13938	275	TRUE	NM_004058.5	NP_004049.3	ENST00000588776.8	189	FALSE
TAF7L	Q5H9L4	462	Q5H9L4	462	TRUE	NM_001168474.2	NP_001161946.1	ENST00000356784.2	376	FALSE
ZNF669	Q96BR6	464	Q96BR6	464	TRUE	NM_001142572.2	NP_001136044.1	ENST00000448299.7	378	FALSE
IMPDH1	P20839	514	P20839	514	TRUE	NM_000883.4	NP_000874.2	ENST00000338791.11	599	FALSE
INAVA	Q3KP66	663	Q3KP66	663	TRUE	NM_001142569.3	NP_001136041.1	ENST00000413687.3	578	FALSE
AFAP1	Q8N556	730	Q8N556	730	TRUE	NM_001134647.2	NP_001128119.1	ENST00000420658.6	814	FALSE
ASPRV1	Q53RT3	343	Q53RT3	343	TRUE	NM_152792.4	NP_690005.3	ENST00000320256.6	259	FALSE
ZFP57	Q9NU63	452	Q9NU63	452	TRUE	NM_001109809.5	NP_001103279.2	ENST00000376883.2	536	FALSE
CACNA1C	Q13936	2221	Q13936	2221	TRUE	NM_000719.7	NP_000710.5	ENST00000399655.6	2138	FALSE
CARS1	P49589	748	P49589	748	TRUE	NM_001014437.3	NP_001014437.1	ENST00000380525.9	831	FALSE
CAST	P20810	708	P20810	708	TRUE	NM_001750.7	NP_001741.4	ENST00000675179.1	791	FALSE
CCDC112	Q8NEF3	446	Q8NEF3	446	TRUE	NM_001040440.3	NP_001035530.1	ENST00000379611.10	529	FALSE
AGBL3	Q8NEM8	1001	Q8NEM8	1001	TRUE	NM_178563.4	NP_848658.3	ENST00000436302.6	920	FALSE
RTEL1	Q9NZ71	1219	Q9NZ71	1219	TRUE	NM_001283009.2	NP_001269938.1	ENST00000360203.11	1300	FALSE
TMIGD3	P0DMS9	266	P0DMS9	266	TRUE	NM_020683.7	NP_065734.5	ENST00000369716.9	347	FALSE
FAM193B	Q96PV7	902	Q96PV7	902	TRUE	NM_001190946.3	NP_001177875.1	ENST00000514747.6	822	FALSE
INPP5B	P32019	993	P32019	993	TRUE	NM_005540.3	NP_005531.2	ENST00000373024.8	913	FALSE
STARD8	Q92502	1023	Q92502	1023	TRUE	NM_001142503.3	NP_001135975.1	ENST00000374599.8	1103	FALSE
THRA	P10827	490	P10827	490	TRUE	NM_199334.5	NP_955366.1	ENST00000450525.7	410	FALSE
CDCA7	Q9BWT1	371	Q9BWT1	371	TRUE	NM_031942.5	NP_114148.3	ENST00000306721.8	450	FALSE
MAMDC4	Q6UXC1	1216	Q6UXC1	1216	TRUE	NM_206920.3	NP_996803.2	ENST00000317446.7	1137	FALSE
ZNF302	Q9NR11	478	Q9NR11	478	TRUE	NM_001289187.2	NP_001276116.1	ENST00000505242.6	399	FALSE
SLC17A3	O00476	420	O00476	420	TRUE	NM_001098486.2	NP_001091956.1	ENST00000397060.8	498	FALSE
STPG3	Q8N7X2	386	Q8N7X2	386	TRUE	NM_001004353.4	NP_001004353.2	ENST00000412566.6	308	FALSE
ZNF414	Q96IQ9	312	Q96IQ9	312	TRUE	NM_001146175.2	NP_001139647.1	ENST00000393927.9	390	FALSE
GNAL	P38405	381	P38405	381	TRUE	NM_182978.4	NP_892023.1	ENST00000334049.11	458	FALSE
MCF2	P10911	925	P10911	925	TRUE	NM_001171876.2	NP_001165347.1	ENST00000519895.6	1001	FALSE
CPNE7	Q9UBL6	633	Q9UBL6	633	TRUE	NM_153636.3	NP_705900.1	ENST00000319518.13	558	FALSE
KCNC1	P48547	511	P48547	511	TRUE	NM_001112741.2	NP_001106212.1	ENST00000265969.8	585	FALSE
NFIB	O00712	420	O00712	420	TRUE	NM_001190737.2	NP_001177666.1	ENST00000380953.6	494	FALSE
C1QTNF3	Q9BXJ4	246	Q9BXJ4	246	TRUE	NM_181435.6	NP_852100.3	ENST00000382065.8	319	FALSE
KHDC1	Q4VXA5	237	Q4VXA5	237	TRUE	NM_030568.5	NP_085045.3	ENST00000257765.10	164	FALSE
PLSCR2	Q9NRY7	297	Q9NRY7	297	TRUE	NM_001395437.1	NP_001382366.1	ENST00000696113.1	224	FALSE
SLC6A9	P48067	706	P48067	706	TRUE	NM_001024845.3	NP_001020016.1	ENST00000372310.8	633	FALSE
TVP23C	Q96ET8	276	Q96ET8	276	TRUE	NM_001135036.2	NP_001128508.1	ENST00000518321.6	203	FALSE
WT1	P19544	449	P19544	449	TRUE	NM_024426.6	NP_077744.4	ENST00000452863.10	522	FALSE
DNAJB5	O75953	348	O75953	348	TRUE	NM_001349723.3	NP_001336652.1	ENST00000682809.1	420	FALSE
APOL3	O95236	402	O95236	402	TRUE	NM_145639.2	NP_663614.1	ENST00000424878.4	331	FALSE
EHBP1	Q8NDI1	1231	Q8NDI1	1231	TRUE	NM_001142616.3	NP_001136088.1	ENST00000431489.6	1160	FALSE
IL17RC	Q8NAC3	791	Q8NAC3	791	TRUE	NM_153460.4	NP_703190.2	ENST00000403601.8	720	FALSE
USP25	Q9UHP3	1055	Q9UHP3	1055	TRUE	NM_001283041.3	NP_001269970.1	ENST00000400183.7	1125	FALSE
EPHB2	P29323	1055	P29323	1055	TRUE	NM_017449.5	NP_059145.2	ENST00000374630.8	986	FALSE
LMO2	P25791	158	P25791	158	TRUE	NM_005574.4	NP_005565.2	ENST00000257818.3	227	FALSE
MDGA2	Q7Z553	956	Q7Z553	956	TRUE	NM_001113498.3	NP_001106970.4	ENST00000399232.8	1025	FALSE
MDGA2	Q7Z553	956	Q7Z553	956	TRUE	NM_001113498.3	NP_001106970.4	ENST00000399232.8	1025	FALSE
PODNL1	Q6PEZ8	505	Q6PEZ8	505	TRUE	NM_001370095.3	NP_001357024.2	ENST00000588872.3	574	FALSE
SHLD2	Q86V20	835	Q86V20	835	TRUE	NM_001330112.2	NP_001317041.1	ENST00000298786.5	904	FALSE
SLC35F3	Q8IY50	421	Q8IY50	421	TRUE	NM_173508.4	NP_775779.1	ENST00000366618.8	490	FALSE
RNF39	Q9H2S5	420	Q9H2S5	420	TRUE	NM_025236.4	NP_079512.3	ENST00000244360.8	352	FALSE
WDR27	A2RRH5	827	A2RRH5	827	TRUE	NM_182552.5	NP_872358.4	ENST00000448612.6	895	FALSE
LTBP4	Q8N2S1	1624	Q8N2S1	1624	TRUE	NM_001042545.2	NP_001036010.1	ENST00000396819.8	1557	FALSE
MXI1	P50539	228	P50539	228	TRUE	NM_130439.3	NP_569157.2	ENST00000332674.9	295	FALSE
TXNDC2	Q86VQ3	553	Q86VQ3	553	TRUE	NM_032243.6	NP_115619.4	ENST00000357775.6	486	FALSE
CCDC120	Q96HB5	630	Q96HB5	630	TRUE	NM_001163321.4	NP_001156793.2	ENST00000603986.6	696	FALSE
CCDC74A	Q96AQ1	378	Q96AQ1	378	TRUE	NM_001258306.3	NP_001245235.1	ENST00000409856.8	312	FALSE
CCDC74B	Q96LY2	380	Q96LY2	380	TRUE	NM_001258307.2	NP_001245236.1	ENST00000409943.8	314	FALSE
KLC1	Q07866	573	Q07866	573	TRUE	NM_001394837.1	NP_001381766.1	ENST00000334553.11	639	FALSE
MT1E	P04732	61	P04732	61	TRUE	NM_001363555.2	NP_001350484.1	ENST00000330439.7	127	FALSE
NHERF4	Q86UT5	571	Q86UT5	571	TRUE	NM_001168468.2	NP_001161940.1	ENST00000355547.10	505	FALSE
TSC22D3	Q99576	134	Q99576	134	TRUE	NM_198057.3	NP_932174.1	ENST00000372383.9	200	FALSE
USP19	O94966	1318	O94966	1318	TRUE	NM_001199161.2	NP_001186090.1	ENST00000417901.6	1384	FALSE
ZNF625	Q96I27	306	Q96I27	306	TRUE	NM_145233.4	NP_660276.2	ENST00000439556.3	372	FALSE
ZNF701	Q9NV72	531	Q9NV72	531	TRUE	NM_018260.3	NP_060730.2	ENST00000391785.8	465	FALSE
RHBDL1	O75783	438	O75783	438	TRUE	NM_001278720.2	NP_001265649.1	ENST00000352681.8	373	FALSE
BSCL2	Q96G97	398	Q96G97	398	TRUE	NM_001122955.4	NP_001116427.1	ENST00000360796.10	462	FALSE
DDX11	Q96FC9	970	Q96FC9	970	TRUE	NM_030653.4	NP_085911.2	ENST00000542838.6	906	FALSE
SNX7	Q9UNH6	387	Q9UNH6	387	TRUE	NM_015976.5	NP_057060.2	ENST00000306121.8	451	FALSE
GPM6B	Q13491	265	Q13491	265	TRUE	NM_001001995.3	NP_001001995.1	ENST00000316715.9	328	FALSE
AP3D1	O14617	1153	O14617	1153	TRUE	NM_001261826.3	NP_001248755.1	ENST00000643116.3	1215	FALSE
CAGE1	Q8TC20	777	Q8TC20	777	TRUE	NM_001170692.2	NP_001164163.1	ENST00000502583.6	839	FALSE
ELN	P15502	786	P15502	786	TRUE	NM_000501.4	NP_000492.2	ENST00000252034.12	724	FALSE
FAM181A	Q8N9Y4	354	Q8N9Y4	354	TRUE	NM_001207073.2	NP_001194002.1	ENST00000556222.2	292	FALSE
FGF12	P61328	243	P61328	243	TRUE	NM_004113.6	NP_004104.3	ENST00000445105.7	181	FALSE
DEF8	Q6ZN54	512	Q6ZN54	512	TRUE	NM_001242818.2	NP_001229747.1	ENST00000563594.6	451	FALSE
PGAP2	Q9UHJ9	254	Q9UHJ9	254	TRUE	NM_014489.4	NP_055304.1	ENST00000278243.9	315	FALSE
SEH1L	Q96EE3	360	Q96EE3	360	TRUE	NM_001013437.2	NP_001013455.1	ENST00000399892.7	421	FALSE
B4GALNT2	Q8NHY0	566	Q8NHY0	566	TRUE	NM_001159387.2	NP_001152859.1	ENST00000393354.7	506	FALSE
DUSP15	Q9H1R2	295	Q9H1R2	295	TRUE	NM_080611.5	NP_542178.2	ENST00000339738.10	235	FALSE
NT5C1B	Q96P26	610	Q96P26	610	TRUE	NM_033253.4	NP_150278.2	ENST00000304081.9	550	FALSE
CR2	P20023	1033	P20023	1033	TRUE	NM_001006658.3	NP_001006659.1	ENST00000367057.8	1092	FALSE
NAV2	Q8IVL1	2488	Q8IVL1	2488	TRUE	NM_145117.5	NP_660093.2	ENST00000349880.9	2429	FALSE
NHSL3	Q9P206	1035	Q9P206	1035	TRUE	NM_020888.3	NP_065939.2	ENST00000401073.7	1094	FALSE
SESN1	Q9Y6P5	492	Q9Y6P5	492	TRUE	NM_014454.3	NP_055269.1	ENST00000436639.7	551	FALSE
SOHLH1	Q5JUK2	328	Q5JUK2	328	TRUE	NM_001101677.2	NP_001095147.2	ENST00000425225.2	387	FALSE
TSPAN17	Q96FV3	270	Q96FV3	270	TRUE	NM_130465.5	NP_569732.2	ENST00000508164.6	329	FALSE
EXD1	Q8NHP7	514	Q8NHP7	514	TRUE	NM_001286441.2	NP_001273370.1	ENST00000458580.7	572	FALSE
HDAC9	Q9UKV0	1011	Q9UKV0	1011	TRUE	NM_178425.4	NP_848512.1	ENST00000686413.1	1069	FALSE
RCOR3	Q9P2K3	495	Q9P2K3	495	TRUE	NM_001136223.3	NP_001129695.1	ENST00000419091.7	553	FALSE
DNAJC6	O75061	913	O75061	913	TRUE	NM_001256864.2	NP_001243793.1	ENST00000371069.5	970	FALSE
IDI1	Q13907	227	Q13907	227	TRUE	NM_004508.4	NP_004499.2	ENST00000381344.8	284	FALSE
ITGA6	P23229	1130	P23229	1130	TRUE	NM_000210.4	NP_000201.2	ENST00000684293.1	1073	FALSE
NLRP7	Q8WX94	980	Q8WX94	980	TRUE	NM_001127255.2	NP_001120727.1	ENST00000592784.6	1037	FALSE
PRSS3	P35030	304	P35030	304	TRUE	NM_002771.4	NP_002762.3	ENST00000379405.4	247	FALSE
REPIN1	Q9BWE0	567	Q9BWE0	567	TRUE	NM_001099695.2	NP_001093165.1	ENST00000489432.7	624	FALSE
RNF216	Q9NWF9	866	Q9NWF9	866	TRUE	NM_207111.4	NP_996994.1	ENST00000389902.8	923	FALSE
YME1L1	Q96TA2	773	Q96TA2	773	TRUE	NM_014263.4	NP_055078.1	ENST00000376016.8	716	FALSE
ZMAT1	Q5H9K5	638	Q5H9K5	638	TRUE	NM_001394560.1	NP_001381489.1	ENST00000651725.2	695	FALSE
ADAMTS13	Q76LX8	1427	Q76LX8	1427	TRUE	NM_139027.6	NP_620596.2	ENST00000355699.7	1371	FALSE
FAM161A	Q3B820	660	Q3B820	660	TRUE	NM_001201543.2	NP_001188472.1	ENST00000404929.6	716	FALSE
IRAG2	Q12912	555	Q12912	555	TRUE	NM_001366544.2	NP_001353473.1	ENST00000556887.6	499	FALSE
MRPL43	Q8N983	215	Q8N983	215	TRUE	NM_032112.3	NP_115488.2	ENST00000318364.13	159	FALSE
ARHGAP26	Q9UNA1	814	Q9UNA1	814	TRUE	NM_001135608.3	NP_001129080.1	ENST00000645722.2	759	FALSE
EEF1AKMT2	Q5JPI9	236	Q5JPI9	236	TRUE	NM_212554.4	NP_997719.2	ENST00000368836.7	291	FALSE
NPHP1	O15259	732	O15259	732	TRUE	NM_001128178.3	NP_001121650.1	ENST00000445609.7	677	FALSE
OPA1	O60313	960	O60313	960	TRUE	NM_130837.3	NP_570850.2	ENST00000361510.8	1015	FALSE
PJA1	Q8NG27	643	Q8NG27	643	TRUE	NM_001032396.4	NP_001027568.1	ENST00000374571.5	588	FALSE
RREB1	Q92766	1687	Q92766	1687	TRUE	NM_001003699.4	NP_001003699.1	ENST00000379938.7	1742	FALSE
SGSM1	Q2NKQ1	1148	Q2NKQ1	1148	TRUE	NM_001098497.3	NP_001091967.1	ENST00000400358.9	1093	FALSE
ALDOA	P04075	364	P04075	364	TRUE	NM_001243177.4	NP_001230106.1	ENST00000642816.3	418	FALSE
CDYL	Q9Y232	598	Q9Y232	598	TRUE	NM_004824.4	NP_004815.3	ENST00000397588.8	544	FALSE
MLX	Q9UH92	298	Q9UH92	298	TRUE	NM_198204.2	NP_937847.1	ENST00000435881.7	244	FALSE
PGPEP1L	A6NFU8	196	A6NFU8	196	TRUE	NM_001167902.2	NP_001161374.1	ENST00000535714.2	142	FALSE
SCYL3	Q8IZE3	742	Q8IZE3	742	TRUE	NM_020423.7	NP_065156.5	ENST00000367771.11	688	FALSE
TDRD5	Q8NAT2	981	Q8NAT2	981	TRUE	NM_001199085.3	NP_001186014.1	ENST00000444136.6	1035	FALSE
ARID1B	Q8NFD5	2319	Q8NFD5	2319	TRUE	NM_001374828.1	NP_001361757.1	ENST00000636930.2	2372	FALSE
